learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),number of subtrees,tree size (nodes),tree size (leaves),number of option nodes
71000.0,4.875,3.3233846059172517E-6,1000.0,0.6904359415549065,0.9169978877557702,71000.0,262632.0
72000.0,4.890625,3.3248012186959387E-6,1000.0,0.7680982075613848,0.9969084530132882,72000.0,350456.0
73000.0,4.921875,3.3290091798537306E-6,1000.0,0.6973849386854528,0.8945270808110054,73000.0,520504.0
74000.0,4.953125,3.335282025444839E-6,1000.0,0.6339263009787621,0.8280639861878255,74000.0,775920.0
75000.0,4.984375,3.343163148706986E-6,1000.0,0.6334980869715142,0.8130912340393655,75000.0,974856.0
76000.0,5.046875,3.360863580989341E-6,1000.0,0.6974982130302565,0.8869480476137689,76000.0,1094728.0
77000.0,5.078125,3.3713350098373163E-6,1000.0,0.6456377197539438,0.8036954517792323,77000.0,1295264.0
78000.0,5.125,3.386531671923068E-6,1000.0,0.6873452928001957,0.9243896057394541,78000.0,1253168.0
79000.0,5.15625,3.389426338900295E-6,1000.0,0.8901705565549397,1.14267643100831,79000.0,358056.0
80000.0,5.1875,3.393699621988668E-6,1000.0,0.6526621309479548,0.8308342978465464,80000.0,528584.0
81000.0,5.21875,3.4000222027922675E-6,1000.0,0.6736077473028369,0.8462450758114564,81000.0,782072.0
82000.0,5.25,3.409065344991784E-6,1000.0,0.5936441424153902,0.7658434461780933,82000.0,1118592.0
83000.0,5.296875,3.423674788791687E-6,1000.0,0.5735940671170795,0.7406160198859599,83000.0,1204744.0
84000.0,5.34375,3.433252374331157E-6,1000.0,0.7259481877223489,0.9550533588548018,84000.0,789800.0
85000.0,5.375,3.4423658831252E-6,1000.0,0.7138290801766145,0.9378579029860019,85000.0,1127296.0
86000.0,5.4375,3.460658610694939E-6,1000.0,0.655140142177632,0.9029110355678153,86000.0,1131360.0
87000.0,5.46875,3.4718613217895236E-6,1000.0,0.6800552102551649,0.9082813640821292,87000.0,1385720.0
88000.0,5.53125,3.495672782365647E-6,1000.0,0.6606631365282534,0.8825472209869762,88000.0,1472680.0
89000.0,5.578125,3.516592906736252E-6,1000.0,0.6691056223570402,0.9130626397223963,89000.0,1725144.0
90000.0,5.625,3.5395709629584524E-6,1000.0,0.6204370656533543,0.8442667747070236,90000.0,1894848.0
91000.0,5.703125,3.5806925734505063E-6,1000.0,0.6146498172884455,0.8275053035245806,91000.0,2034616.0
92000.0,5.765625,3.58655473165628E-6,1000.0,0.8066191886491638,1.0525469125097524,92000.0,362560.0
93000.0,5.796875,3.590853949491349E-6,1000.0,0.5863622189921858,0.762114397480899,93000.0,531792.0
94000.0,5.828125,3.597874181448586E-6,1000.0,0.5527778475951591,0.7098366108174958,94000.0,868368.0
95000.0,5.859375,3.603117268842956E-6,1000.0,0.7691792471922305,1.0264564141625265,95000.0,648544.0
96000.0,5.890625,3.6054737089822693E-6,1000.0,0.68552213921549,0.8971919390111597,96000.0,291480.0
97000.0,5.9375,3.6130956141278153E-6,1000.0,0.598922872927515,0.7594588379470972,97000.0,628528.0
98000.0,5.96875,3.616160700201161E-6,1000.0,0.6358868833712313,0.8552150557245399,98000.0,379136.0
99000.0,5.984375,3.6189208104689095E-6,1000.0,0.7387955681522583,0.9455359979046598,99000.0,682824.0
100000.0,6.03125,3.626020398870525E-6,1000.0,0.5795303473642535,0.7458691500848647,100000.0,585456.0
